system:index,flood_area_km2,month,year,.geo
0,6665992.418715485,1.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,6257056.79679034,2.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6126204.286703439,3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,6782538.934716742,4.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,6788992.966831693,5.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7368785.345460588,6.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7283388.209463348,7.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,7253714.076501714,8.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,7440192.700890984,9.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,6979319.649589715,10.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,6943885.863643614,11.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,6683793.913417162,12.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,5030621.69060091,1.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,5348495.696598216,2.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,5268246.436170291,3.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,5724557.076852076,4.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5736925.308527437,5.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,5829510.606267611,6.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,5443078.015635078,7.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,6022273.676392914,8.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,6002645.003252336,9.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,6297334.2246042425,10.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,5381760.376228388,11.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,5766825.988675513,12.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,5262663.467958459,1.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,4751868.408356893,2.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,5280590.327599558,3.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,5661920.936285742,4.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5430590.037577288,5.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,5433037.063385475,6.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,5623344.77450303,7.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,5761937.518188802,8.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,5907981.509207471,9.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,5788212.054658013,10.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,5980825.071572708,11.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,5724841.670979134,12.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,5111705.511866729,1.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,5249193.630768813,2.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,5093715.272672877,3.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,5406443.175688535,4.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,5776717.450112003,5.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,5549960.820533086,6.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,5829389.374882264,7.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,5868498.242697792,8.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,5874175.667628051,9.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,6200285.606129827,10.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,5032572.05203777,11.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,5873647.602390964,12.0,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,5309408.772411356,1.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,5752341.901967309,2.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,5672474.540877678,3.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,6808536.525083986,4.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,6573217.022416447,5.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,6517647.685390312,6.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,6527699.667547738,7.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,6502521.510616476,8.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,6516064.398294594,9.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,5979235.646272884,10.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,5866747.070296597,11.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,5594101.124151467,12.0,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
