system:index,month,ndvi,year,.geo
0,1.0,0.051890140293964396,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,0.0414637242841017,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,0.07453377350848074,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,0.10552718788279754,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,0.18083094675845038,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,0.2645735431942944,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,0.277603171596579,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,0.260012239412419,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,0.23569704734741204,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,0.15992566658693336,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,0.10326456865996544,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,0.06637588866836154,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.0,0.05323573659771689,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0,0.05713826394718642,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.0,0.06210228717947883,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.0,0.07826849948255189,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.0,0.14708142193983986,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.0,0.25263747516441876,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.0,0.28569556105550936,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.0,0.2807170605528999,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.0,0.25276133722006044,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,10.0,0.17968798243560666,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,11.0,0.07835692441339005,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,12.0,0.05442253546009286,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.0,0.04283085811259939,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.0,0.046023026857275565,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3.0,0.05299260922636505,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,4.0,0.08667996798247611,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5.0,0.19200416054395222,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,6.0,0.26896652771027174,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,7.0,0.2625833261932558,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,8.0,0.25678957852625145,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,9.0,0.2196367168774149,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
