system:index,month,rainfall_mm,year,.geo
0,1.0,44.88512127209977,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2.0,43.41724816514681,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.0,56.32021161641416,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.0,48.76256736413632,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,5.0,65.75637233726408,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.0,73.39025804394238,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,7.0,80.28150876369905,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,8.0,74.3525009984106,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,9.0,67.81968048739897,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,10.0,67.66004412863195,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11.0,44.433261784401154,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,12.0,54.75672043107657,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1.0,41.26670114981802,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2.0,43.642843362626955,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,3.0,51.9804010726137,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,4.0,62.33830172296484,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,5.0,77.42600211554775,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,6.0,64.48094715140827,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,7.0,73.13582435484156,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,8.0,78.83523457309447,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,9.0,54.28457300752759,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,10.0,44.710544126759316,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,11.0,59.04407518829895,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,12.0,63.65458242874022,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1.0,64.17508558399207,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2.0,41.69516519736472,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,3.0,59.09611706255058,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,4.0,58.95896706478294,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,5.0,61.020017132805194,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,6.0,67.68564255570881,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,7.0,71.89629239423178,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,8.0,69.64825160838042,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,9.0,51.69617376065317,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,10.0,57.76768340137347,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,11.0,40.738921643109805,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,12.0,54.69970481485448,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1.0,70.8064088127528,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2.0,46.07355218869124,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,3.0,67.18484634782935,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,4.0,66.32073901248357,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,5.0,80.54452470864346,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,6.0,72.30457931092803,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,7.0,71.7590847560797,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,8.0,63.451671414151136,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,9.0,54.43976186020703,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,10.0,33.88552150173437,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,11.0,67.92747807889008,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,12.0,55.84365152723008,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1.0,33.06291147160008,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2.0,48.026189579665484,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,3.0,55.97718431346982,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,4.0,67.4329698159511,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,5.0,80.05764556453212,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,6.0,77.19003490530979,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,7.0,78.97095822058871,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,8.0,58.016700607335245,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,9.0,53.559943690975444,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,10.0,56.19897666486779,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,11.0,46.241613940640676,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,12.0,46.86852839317435,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
